Date,Open,High,Low,Close,Adj Close,Volume
2018-09-21,55.195000,55.340000,54.322498,54.415001,52.574196,384986800
2018-09-24,54.205002,55.314999,54.157501,55.197498,53.330219,110773600
2018-09-25,54.937500,55.705002,54.924999,55.547501,53.668377,98217600
2018-09-26,55.250000,55.937500,54.939999,55.105000,53.240852,95938800
2018-09-27,55.955002,56.610001,55.884998,56.237499,54.335045,120724800
2018-09-28,56.197498,56.459999,56.005001,56.435001,54.525867,91717600
2018-10-01,56.987499,57.355000,56.587502,56.814999,54.892998,94403200
2018-10-02,56.812500,57.500000,56.657501,57.320000,55.380932,99152800
2018-10-03,57.512501,58.367500,57.445000,58.017502,56.054832,114619200
2018-10-04,57.695000,58.087502,56.682499,56.997501,55.069332,128168000
2018-10-05,56.990002,57.102501,55.145000,56.072498,54.175621,134322000
2018-10-08,55.552502,56.200001,55.049999,55.942501,54.050018,118655600
2018-10-09,55.910000,56.817501,55.562500,56.717499,54.798801,107564000
2018-10-10,56.365002,56.587502,54.012501,54.090000,52.260193,167962400
2018-10-11,53.630001,54.875000,53.080002,53.612499,51.798840,212497600
2018-10-12,55.105000,55.720001,54.209999,55.527500,53.649059,161351600
2018-10-15,55.290001,55.457500,54.317501,54.340000,52.501740,123164000
2018-10-16,54.732498,55.747501,54.189999,55.537498,53.658718,116736000
2018-10-17,55.575001,55.660000,54.834999,55.297501,53.426842,91541600
2018-10-18,54.465000,54.935001,53.250000,54.005001,52.178074,130325200
2018-10-19,54.514999,55.314999,54.357498,54.827499,52.972744,132314800
2018-10-22,54.947498,55.840000,54.735001,55.162498,53.296413,115168400
2018-10-23,53.957500,55.812500,53.674999,55.682499,53.798817,155071200
2018-10-24,55.650002,56.057499,53.634998,53.772499,51.953430,163702000
2018-10-25,54.427502,55.345001,54.187500,54.950001,53.091095,119423200
2018-10-26,53.974998,55.047501,53.167500,54.075001,52.245705,189033600
2018-10-29,54.797501,54.922501,51.522499,53.060001,51.265034,183742000
2018-10-30,52.787498,53.794998,52.317501,53.325001,51.521065,146640000
2018-10-31,54.220001,55.112499,54.154999,54.715000,52.864044,153435600
2018-11-01,54.762501,55.590000,54.202499,55.555000,53.675640,233292800
